번호,파일명,분류,배경 의존도,특징,추가 구현 요청 포인트
1,브랜드 방향 A,브랜드/무드보드,낮음,"전체 무드용, 실제 화면 아님","구현 화면의 직접 레이아웃으로 쓰지 말고 색상, 여백, 타이포, 버튼 밀도, 카드 radius, 포커스 링 톤의 기준으로만 사용. 실제 UI에는 과한 장식 배경을 복제하지 말고 디자인 토큰(primary, accent, surface, border, muted text)으로 추출해서 적용."
2,브랜드 방향 B,브랜드/무드보드,낮음,"전체 무드용, 실제 화면 아님","구현 화면의 직접 컴포넌트 구조로 쓰지 말고 warm AI, calm, editorial 톤의 보조 레퍼런스로 사용. 코랄 포인트는 CTA, 진행, 피드백처럼 의미 있는 상태에만 제한하고 전체 화면이 한 가지 색으로 뭉치지 않게 neutral surface와 blue-green 계열을 분리."
3,내비게이션 구조,다이어그램형 시안,낮음,"실제 화면 아님, 구조 비교용","라우팅 구조는 홈, 어휘, 말하기, 쓰기·읽기 4개 목적 탭을 기준으로 재구성. 모바일은 하단 탭바 4개와 우상단 설정 아이콘을 고정하고, 각 탭 내부 기능은 별도 route 남발보다 세그먼트/서브탭으로 노출. 데스크톱은 같은 정보구조를 유지하되 사이드/상단 내비게이션으로 확장 가능하게 설계. 현재 위치, active tab, nested segment 상태가 URL 또는 상태와 동기화되어 새로고침 후에도 유지되게 구현."
4,온보딩,UI 중심,낮음~중간,"배경 단순, 카드+버튼 위주","데스크톱 1440 기준 중앙 narrow container는 최대 720px로 제한하고 모바일에서는 좌우 16~20px 여백 유지. 영어/스페인어/일본어 선택 카드는 전체 카드가 클릭 영역이며 선택 시 ring, border, background, aria-selected가 동시에 바뀌어야 함. CTA는 선택 전 disabled, 저장 중 loading, 저장 실패 error message와 retry 가능 상태를 모두 구현. 긴 언어명이나 이후 언어 추가 시 카드가 깨지지 않도록 grid는 auto-fit 또는 wrap 구조로 만들고, 모바일에서는 1열, 태블릿 이상에서는 3열까지 자연스럽게 전환."
5,홈 탭,UI+배경 혼합,중간,히어로 카드 배경 장식 있을 가능성,"오늘의 코스 체크리스트처럼 보이지 않게 메인 카피와 카드 액션을 '지금 이어서 하면 좋은 학습' 추천 흐름으로 구성. 추천 카드에는 남은 양, 이어보기 위치, 추천 이유가 항상 들어갈 수 있는 슬롯을 만들고 값이 없을 때는 레이아웃이 무너지지 않게 fallback 텍스트 또는 숨김 규칙을 정의. 메인 hero 추천 카드와 보조 추천 3~4개는 모바일에서 세로 스택, 데스크톱에서 2열/비대칭 그리드로 전환. 하단 학습 스냅샷은 숫자가 커져도 카드 폭을 밀지 않게 minmax와 줄바꿈 처리. 하단 탭바는 모바일 고정, 데스크톱에서는 중복 노출하지 않거나 사이드 내비게이션으로 변환."
6,어휘 탭 허브,UI 중심,낮음~중간,리스트/세그먼트 위주,"플래시카드, 청크, 내 사전 세그먼트는 active, hover, focus, disabled 상태를 명확히 구현하고 키보드 이동이 가능해야 함. 오늘 복습 도래 요약의 N/M 값이 0일 때 empty 안내와 대체 CTA를 제공. 미리보기 카드 목록은 데이터가 0개, 1개, 많은 경우 모두 높이가 튀지 않도록 skeleton, empty state, max rows 규칙을 둠. 모바일에서는 세그먼트가 가로 스크롤되지 않게 축약 또는 균등 분배하고, 긴 텍스트는 2줄 이내 ellipsis 처리."
7,플래시카드·청크 학습,"UI 중심, 인터랙션 많음",중간,"모드 탭, 입력창, 정오답 색상 다양","모드 탭(뒤집기/객관식/주관식/받아쓰기/뉘앙스)은 각 모드별 입력 방식과 하단 액션 버튼 구성이 달라지므로 상태 머신으로 분리. 진행률 n/N은 N=0, 완료, 중단 후 재개 상태를 처리. 중앙 학습 카드는 긴 단어/문장/청크가 영역을 넘지 않게 font-size clamp, word-break, max-height 내부 스크롤을 적용. 주관식/받아쓰기 입력창은 정답 제출 전/후, 정답/오답, 다시 시도 상태를 분리하고 색상만으로 판단하지 않도록 아이콘과 텍스트 피드백을 함께 제공. 완료 화면과 empty state는 별도 route가 아니라 같은 학습 컨테이너 안의 상태로 전환."
8,내 사전,UI 중심,낮음,리스트/검색 위주,"검색 입력은 debounce, clear button, IME 조합 중 submit 방지, 빈 검색 처리까지 구현. 내가 담은 단어/청크와 전체 DB 탐색은 탭 또는 섹션으로 구분하되 같은 row 컴포넌트를 재사용. heart toggle과 삭제 액션은 서로 클릭 영역이 겹치지 않게 하고 optimistic update 실패 시 되돌림/토스트를 제공. 목록은 긴 뜻, 예문, 태그가 있어도 row 높이가 과도하게 커지지 않도록 2~3줄 clamp와 상세 펼침을 제공. 검색 결과 없음과 저장 항목 없음은 별도 empty state로 문구와 CTA를 다르게 둠."
9,말하기 탭 허브,UI+배경 혼합,중간,"영상 썸네일, 요약 카드 배경","영상 썸네일은 목업 이미지를 고정하지 말고 실제 YouTube 썸네일 URL 또는 안전한 placeholder 컴포넌트로 대체. 이어보기 위치, 마지막 피드백 점수, 시나리오명은 없을 수 있으므로 null 상태의 카드 문구를 정의. 쉐도잉/AI 대화 세그먼트는 하위 화면 진입 CTA와 최근 활동 미리보기를 분리해 클릭 혼선을 줄임. 모바일에서는 썸네일 비율을 16:9로 고정하고 카드 높이가 이미지 로딩 전후로 흔들리지 않게 aspect-ratio를 지정."
10,쉐도잉 목록+플레이어,UI+미디어,중간~높음,"플레이어 UI 복잡, 버튼 다수","목록과 플레이어는 한 화면에 보이더라도 구현에서는 video list, subtitle source input, player, subtitle list, control bar를 컴포넌트로 분리. 플레이어 컨트롤 바는 재생/일시정지, -3초/+3초, 배속, A-B 반복, 자막 줄 반복 상태가 좁은 화면에서 겹치지 않게 우선순위를 정하고 overflow menu를 제공. 자막 리스트는 현재 줄 active highlight, 긴 문장 wrap, 반복 구간 표시를 지원. YouTube URL 자동 가져오기 실패, 파일 업로드 실패, 직접 붙여넣기 empty 상태를 모두 표시. 영상 영역은 로딩 전 skeleton과 오류 대체 UI를 가지고 고정 aspect-ratio로 레이아웃 점프를 방지."
